AssertionError: ('Bad return', ('profile', 0, 'main()'))
         379218 function calls (361640 primitive calls) in 0.373 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       27    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
       27    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
       27    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
       25    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       25    0.000    0.000    0.000    0.000 ipaddress.py:415(_check_int_address)
       25    0.000    0.000    0.000    0.000 ipaddress.py:431(_ip_int_from_prefix)
       25    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
       24    0.000    0.000    0.000    0.000 typing.py:1333(<genexpr>)
    24/16    0.000    0.000    0.000    0.000 typing.py:1878(_strip_annotations)
       24    0.000    0.000    0.000    0.000 enum.py:82(__init__)
       24    0.000    0.000    0.001    0.000 enum.py:165(__prepare__)
       24    0.000    0.000    0.000    0.000 enum.py:198(<dictcomp>)
       24    0.001    0.000    0.001    0.000 enum.py:222(<setcomp>)
       24    0.004    0.000    0.009    0.000 enum.py:180(__new__)
       24    0.000    0.000    0.000    0.000 enum.py:569(_check_for_existing_members)
       24    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
       23    0.000    0.000    0.000    0.000 typing.py:1217(<genexpr>)
       23    0.000    0.000    0.000    0.000 enum.py:423(__getattr__)
       22    0.000    0.000    0.000    0.000 dataclasses.py:227(_recursive_repr)
       22    0.000    0.000    0.000    0.000 dataclasses.py:345(__init__)
       22    0.000    0.000    0.000    0.000 dataclasses.py:396(<genexpr>)
